cluster,location_geometry
0,"POLYGON ((34.2005366 -118.39620419, 34.1969723 -118.3962292, 34.19457078 -118.39262009, 34.19473337 -118.39239411, 34.19819683 -118.39332039, 34.2005366 -118.39620419))"
1,"POLYGON ((34.19232724 -118.38942046, 34.188249 -118.390925, 34.18685 -118.39042, 34.18256307 -118.38604641, 34.18970976 -118.38272047, 34.19061138 -118.3825706, 34.19232724 -118.38942046))"
2,"POLYGON ((34.18894377 -118.37940859, 34.1864412 -118.37940669, 34.1907629 -118.37738437, 34.19175455 -118.37814434, 34.18894377 -118.37940859))"
3,"POLYGON ((34.17576653 -118.38889845, 34.17335125 -118.38839986, 34.17590709 -118.38717026, 34.17799192 -118.38695132, 34.18012202 -118.38674876, 34.18010374 -118.3868064, 34.17576653 -118.38889845))"
4,"POLYGON ((34.15760902 -118.38172127, 34.15438299 -118.36689519, 34.15776098 -118.3635483, 34.17199131 -118.36032629, 34.18203217 -118.35971676, 34.171818 -118.379018, 34.1712267 -118.3797626, 34.15760902 -118.38172127))"
5,"POLYGON ((34.16489471 -118.38743129, 34.16741171 -118.39216533, 34.16520935 -118.39549542, 34.1640958 -118.3971743, 34.16454094 -118.39109567, 34.16489471 -118.38743129))"
6,"POLYGON ((34.14588315 -118.37093956, 34.14524135 -118.37414838, 34.13841224 -118.36686861, 34.13822651 -118.36504911, 34.14195711 -118.36737229, 34.14588315 -118.37093956))"
7,"POLYGON ((34.13267449 -118.3557485, 34.13656176 -118.35555722, 34.13696055 -118.35601377, 34.13795616 -118.35988641, 34.13493308 -118.35891712, 34.13440887 -118.35851642, 34.13267449 -118.3557485))"
8,"POLYGON ((34.15727969 -118.38868244, 34.15533094 -118.3936887, 34.15100655 -118.3890706, 34.15727969 -118.38868244))"
9,"POLYGON ((34.14148714 -118.38881925, 34.14172374 -118.38774768, 34.14792165 -118.39238138, 34.14915178 -118.39669707, 34.14337814 -118.39655756, 34.14148714 -118.38881925))"
10,"POLYGON ((34.2135411 -118.39996683, 34.20617964 -118.39877965, 34.20757737 -118.39632555, 34.2141869 -118.3955493, 34.21727987 -118.3990256, 34.2135411 -118.39996683))"
